Indicação Fiscal;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria
85.616.011;74.3.0058.0108; 03/12/2015 ; 02/03/2016 ; 07/06/2016 ;FRANCISCO JOSÉ BOZZA;200;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;2;2;0;339.514;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";174,54;102,88;0;0,00;102,88;0,00;0;0;CESAR AUGUSTO POLYDORO;PR0000004295D;CESAR AUGUSTO POLYDORO;PR0000004295D;;;;
87.601.007;71.7.0033.0308; 03/12/2015 ; 02/03/2016 ;;LYDIA GIRARDI BERTHOLDI;1.075;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;3;2;339.518;"COMÉRCIO E SERVIÇO VICINAL; HABITAÇÃO UNIFAMILIAR";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";452,91;191,46;0;0,00;191,46;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
87.614.041;71.6.0091.0364; 03/12/2015 ; 02/03/2016 ; 06/05/2016 ;ISMAEL DE ALMEIDA;85;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;339.509;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;69,86;0;0,00;69,86;0,00;0;0;RAFAEL MASSAMITI NAKADAIRA;PR0000081853D;RAFAEL MASSAMITI NAKADAIRA;PR0000081853D;;;;
87.713.051;71.0.0018.0294; 03/12/2015 ; 02/03/2016 ; 06/09/2016 ;RUY LEAL;838;CAMPO DE SANTANA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;339.508;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";140,00;69,90;0;0,00;69,90;0,00;0;0;RAFAEL MASSAMITI NAKADAIRA;PR0000081853D;RAFAEL MASSAMITI NAKADAIRA;PR0000081853D;;;;
89.043.045;74.7.0004.0318; 03/12/2015 ; 02/03/2016 ; 08/04/2016 ;EVELAZIO AUGUSTO BLEY;152;TATUQUARA;ZROI - ZONA RESIDENCIAL DE OCUPAÇÃO INTEGRADA;Unidade Regional Tatuquara;2;1;0;339.516;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";66.848,95;137,10;0;0,00;137,10;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
89.580.009;74.6.0053.0220; 03/12/2015 ; 02/03/2016 ; 03/03/2016 ;CAPITÃOZINHO SCHERAIB;212;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;339.515;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";160,00;81,44;0;0,00;81,44;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
89.902.023;74.6.0150.0254; 03/12/2015 ; 02/03/2016 ; 05/04/2016 ;PEDRO PROSDÓCIMO;1.105;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;2;0;339.517;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";150,53;72,00;0;0,00;72,00;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
19.111.229;59.0.0001.0950; 04/02/2015 ; 04/04/2015 ;;CURITIBA PONTA GROSSA BR-277;3.951;ORLEANS;ZS1 - ZONA DE SERVIÇOS 1;Unidade Regional Santa Felicidade;0;1;0;333.730;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";851,50;0,00;0;0,00;199,20;0,00;0;0;;;;;;;;
19.136.052;59.1.0044.0648; 04/02/2015 ; 04/04/2015 ;;VEREADOR TOALDO TÚLIO;4.405;ORLEANS;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;4;333.839;"COMÉRCIO E SERVIÇO VICINAL; HABITAÇÃO UNIFAMILIAR";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";2.753,04;299,31;0;0,00;299,31;0,00;0;0;MARCELO OLIVEIRA ESTURILHO;PR0000102479D;MARCELO OLIVEIRA ESTURILHO;PR0000102479D;;;;
23.050.001;29.0.0085.0122; 04/02/2015 ; 04/04/2015 ;;SETE DE SETEMBRO;6.035;SEMINÁRIO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Portao;0;1;0;333.276;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";315,00;0,00;0;0,00;46,40;0,00;0;0;;;;;;;;
23.097.009;30.0.0088.0184; 04/02/2015 ; 04/04/2015 ; 25/10/2016 ;VICENTE MACHADO;2.500;CAMPINA DO SIQUEIRA;ZR1 - ZONA RESIDENCIAL 1;Unidade Regional Santa Felicidade;0;2;0;333.330;HABITAÇÃO UNIFAMILIAR;******;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";2.844,10;0,00;0;0,00;738,03;0,00;0;0;;;;;;;;
24.039.037;07.0.0060.0490; 04/02/2015 ; 05/05/2015 ;;SÃO JANUÁRIO;907;JARDIM BOTÂNICO;ZR1 - ZONA RESIDENCIAL 1;Unidade Regional Matriz;2;1;0;333.242;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";432,00;325,42;0;0,00;325,42;0,00;0;0;ANDRE XAVIER DE FARIA;PR0000109835D;ANDRE XAVIER DE FARIA;PR0000109835D;;;;
81.315.088;57.0.0067.0296; 04/02/2015 ; 04/04/2015 ; 23/09/2015 ;OCTACYR REYNALDO MION;359;XAXIM;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 12 - S. SUL-AIB3;Unidade Regional Boqueirao;2;1;0;333.244;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";21.037,23;157,08;0;0,00;157,08;0,00;0;0;FABIO FRAHM;PR0000005351D;FABIO FRAHM;PR0000005351D;CASTEVAL CONSTRUCAO E INCORPORACAO LTDA;;;
81.315.088;57.0.0067.0296; 04/02/2015 ; 05/05/2015 ; 04/11/2015 ;OCTACYR REYNALDO MION;359;XAXIM;ZT-LV - ZONA DE TRANSIÇÃO LINHA VERDE - 12 - S. SUL-AIB3;Unidade Regional Boqueirao;2;1;0;333.235;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";21.037,23;157,08;0;0,00;157,08;0,00;0;0;FABIO FRAHM;PR0000005351D;FABIO FRAHM;PR0000005351D;CASTEVAL CONSTRUCAO E INCORPORACAO LTDA;;;
83.217.005;58.2.0072.0250; 04/02/2015 ; 04/04/2015 ;;WINSTON CHURCHILL;1.942;CAPÃO RASO;EE-3 - EIXO ESTRUTURAL SUL - INCENTIVO;Unidade Regional Pinheirinho;1;0;1;333.270;COMÉRCIO E SERVIÇO VICINAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";464,00;99,91;0;0,00;99,91;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
83.220.010;58.2.0080.0320; 04/02/2015 ; 05/05/2015 ; 20/02/2018 ;DOUTOR WALDEMIRO PEREIRA;236;CAPÃO RASO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Pinheirinho;1;1;;333.238;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";444,00;72,54;0;0,00;72,54;0,00;;;JULIA RUBINI SOFFIATTI;A0361208;JULIA RUBINI SOFFIATTI;A0361208;;;;
83.220.011;58.2.0080.0332; 04/02/2015 ; 05/05/2015 ;;DOUTOR WALDEMIRO PEREIRA;246;CAPÃO RASO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Pinheirinho;1;1;;333.240;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";444,00;72,54;0;0,00;72,54;0,00;;;JULIA RUBINI SOFFIATTI;A0361208;JULIA RUBINI SOFFIATTI;A0361208;;;;
83.220.013;58.2.0080.0356; 04/02/2015 ; 05/05/2015 ;;DOUTOR WALDEMIRO PEREIRA;270;CAPÃO RASO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Pinheirinho;1;1;;333.233;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";444,00;72,54;0;0,00;72,54;0,00;;;JULIA RUBINI SOFFIATTI;A0361208;JULIA RUBINI SOFFIATTI;A0361208;;;;
83.220.014;58.2.0080.0402; 04/02/2015 ; 05/05/2015 ;;ATILIO BRUNETTI;1.625;CAPÃO RASO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Pinheirinho;1;1;;333.228;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";488,00;72,54;0;0,00;72,54;0,00;;;JULIA RUBINI SOFFIATTI;A0361208;JULIA RUBINI SOFFIATTI;A0361208;;;;
83.220.016;58.2.0080.0430; 04/02/2015 ; 05/05/2015 ;;ATILIO BRUNETTI;1.605;CAPÃO RASO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Pinheirinho;1;1;;333.227;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";427,00;72,54;0;0,00;72,54;0,00;;;JULIA RUBINI SOFFIATTI;A0361208;JULIA RUBINI SOFFIATTI;A0361208;;;;
83.220.018;58.2.0080.0030; 04/02/2015 ; 05/05/2015 ;;ATILIO BRUNETTI;1.575;CAPÃO RASO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Pinheirinho;1;1;;333.230;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";352,74;72,54;0;0,00;72,54;0,00;;;JULIA RUBINI SOFFIATTI;A0361208;JULIA RUBINI SOFFIATTI;A0361208;;;;
83.220.022;58.2.0080.0078; 04/02/2015 ; 05/05/2015 ;;JOSÉ RODRIGUES PINHEIRO;383;CAPÃO RASO;ZR4 - ZONA RESIDENCIAL 4;Unidade Regional Pinheirinho;1;1;;333.231;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";390,78;72,54;0;0,00;72,54;0,00;;;JULIA RUBINI SOFFIATTI;A0361208;JULIA RUBINI SOFFIATTI;A0361208;;;;
83.493.240;66.3.0044.1136; 04/02/2015 ; 05/05/2015 ;;NOSSA SENHORA DO SAGRADO CORAÇÃO;218;PINHEIRINHO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Pinheirinho;1;0;4;333.254;COMÉRCIO E SERVIÇO SETORIAL;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";4.099,78;1.980,16;0;0,00;1.980,16;0,00;0;0;SABRINA DANIELLE SLOMPO;;CARLOS ALBERTO RUIZ;PR0000006006D;;;;
84.257.029;57.1.0017.0822; 04/02/2015 ; 05/05/2015 ;;WALDEMAR LOUREIRO CAMPOS;3.751;XAXIM;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boqueirao;4;60;0;333.256;CONJUNTO HABITACIONAL DE EDIFÍCIOS DE APARTAMENTOS;******;REFORMA;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";5.897,00;5.879,76;0;0,00;0,00;308,00;4;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
89.887.009;74.6.0135.0088; 04/02/2015 ; 04/04/2015 ;;AUGUSTO HEYN;50;TATUQUARA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Tatuquara;1;1;0;333.225;HABITAÇÃO UNIFAMILIAR;******;MORADIA POPULAR;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";125,00;69,47;0;0,00;69,47;0,00;0;0;;;;;;;;
91.064.059;50.1.0025.1298; 04/02/2015 ; 04/04/2015 ;;WILSON GOMES RAMOS;450;ABRANCHES;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;0;334.046;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";39.907,38;433,57;0;0,00;433,57;0,00;0;1;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;JUAN RAMIRO LAZO DE LA VEGA GUZMAN;PR0000005858D;;;;
91.081.028;50.1.0008.0022; 04/02/2015 ; 04/04/2015 ; 01/12/2020 ;JOSE BAJERSKI;802;ABRANCHES;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;1;0;333.922;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";21.952,47;152,53;0;0,00;152,53;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;ANDRE BUDEL;PR0000061031D;;;;
96.049.013;53.6.0003.0234; 04/02/2015 ; 04/04/2015 ;;BEPPE GUSSO;316;SANTA CÂNDIDA;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;2;12;0;334.023;HABITAÇÃO UNIFAMILIAR EM SÉRIE;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.409,16;1.042,36;0;0,00;1.042,36;0,00;0;0;UBIRAITA ANTONIO DRESCH;PR0000022219D;UBIRAITA ANTONIO DRESCH;PR0000022219D;;;;
39.197.008;60.0.0043.0412; 04/03/2015 ; 04/05/2015 ;;DOUTOR CERQUEIRA LIMA;101;SÃO BRAZ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;0;334.020;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";475,53;340,61;0;0,00;340,61;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
12.042.002;01.1.0046.0144; 04/05/2015 ; 03/08/2015 ;;MARECHAL DEODORO;555;CENTRO;ZC - ZONA CENTRAL;Unidade Regional Matriz;0;0;1;335.042;SERVIÇO PÚBLICO;******;REFORMA SIMPLIFICADA;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";1.092,00;0,00;0;0,00;0,00;2.700,00;0;0;;;;;;;;
22.002.015;01.1.0111.0302; 04/05/2015 ; 03/08/2015 ; 16/11/2015 ;MARECHAL FLORIANO PEIXOTO;865;CENTRO;EE-4 - EIXO ESTRUTURAL CENTRO;Unidade Regional Matriz;1;0;3;335.041;COMÉRCIO E SERVIÇO DE BAIRRO;******;REFORMA E AMPLIAÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";455,67;459,16;0;0,00;41,42;417,74;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;LEO RICARDO PFUTZ;PR0000074276D;;;;
24.035.040;07.0.0040.0362; 04/05/2015 ; 03/08/2015 ; 08/12/2015 ;SÃO JANUÁRIO;595;JARDIM BOTÂNICO;ZR1 - ZONA RESIDENCIAL 1;Unidade Regional Matriz;2;1;0;335.049;HABITAÇÃO UNIFAMILIAR;******;REFORMA E AMPLIAÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";864,00;675,04;0;0,00;586,57;88,47;0;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AGNES CRISTINA WINTER PEREIRA;RS0000063156D;;;;
32.079.023;04.0.0040.0360; 04/05/2015 ; 03/07/2015 ; 18/07/2016 ;CARLOS EDUARDO LEÃO;99;ALTO DA GLÓRIA;ZR3-T - ZONA RESIDENCIAL 3 TRANSIÇÃO;Unidade Regional Matriz;0;0;0;335.055;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";2.080,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
58.140.018;36.3.0026.0280; 04/05/2015 ; 03/07/2015 ; 23/07/2015 ;ALBINO KAMINSKI;855;BAIRRO ALTO;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Boa Vista;0;0;0;335.050;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";500,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
81.588.013;65.0.0067.0294; 04/05/2015 ; 03/08/2015 ;;APUCARANA;1.581;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;1;2;335.033;"COMÉRCIO E SERVIÇO DE BAIRRO; HABITAÇÃO UNIFAMILIAR";******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";429,68;389,00;0;0,00;389,00;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
82.470.002;65.1.0007.0082; 04/05/2015 ; 03/08/2015 ; 17/03/2016 ;SATURNO;619;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;3;0;335.039;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";345,30;304,29;0;0,00;304,29;0,00;0;0;OCIMAR ANDRADE DOS SANTOS;PR0000026971D;OCIMAR ANDRADE DOS SANTOS;PR0000026971D;;;;
82.685.016;65.6.0053.0168; 04/05/2015 ; 03/08/2015 ;;MAJOR MIGUEL BALBINO BLASI;395;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;2;0;335.038;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";153,68;156,76;0;0,00;156,76;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
83.493.230;66.3.0052.0238; 04/05/2015 ; 03/08/2015 ;;NOSSA SENHORA DO SAGRADO CORAÇÃO;444;PINHEIRINHO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Pinheirinho;2;1;0;335.051;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";9.289,05;150,72;0;0,00;150,72;0,00;0;0;CLAUDIO AURELIO MOTTIM AMORIM;PR065803D;CLAUDIO AURELIO MOTTIM AMORIM;PR065803D;;;;
83.494.078;73.2.0011.0946; 04/05/2015 ; 03/08/2015 ;;JULIA HUGA MARIA NEGRELLO;291;UMBARÁ;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Bairro Novo;2;1;0;335.036;CONJUNTO HABITACIONAL DE RESIDENCIAS ISOLADAS;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";28.793,75;178,84;0;0,00;178,84;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
84.616.022;65.4.0129.0150; 04/05/2015 ; 03/08/2015 ; 24/11/2020 ;AUGUSTO SOARES DA COSTA;11;SÍTIO CERCADO;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Bairro Novo;2;3;0;335.032;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";258,30;284,63;0;0,00;284,63;0,00;0;0;CRISTIANE SZWEC GONÇALVES;PR0000062071D;CRISTIANE SZWEC GONÇALVES;PR0000062071D;;;;
85.397.015;58.1.0024.0186; 04/05/2015 ; 03/08/2015 ; 29/12/2015 ;JOSÉ ZALESKI;1.006;CAPÃO RASO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Pinheirinho;2;2;0;335.053;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";264,00;240,00;0;0,00;240,00;0,00;0;0;BRUNO ALBERTO MALTEZINHO MACHADO DA SILVA;;BRUNO ALBERTO MALTEZINHO MACHADO DA SILVA;;;;;
94.239.011;51.1.0023.0120; 04/05/2015 ; 03/08/2015 ; 07/11/2017 ;SOFIA WINKLEWSKI DYMINSKI;529;CACHOEIRA;ZROC-1 - ZONA RESIDENCIAL DE OCUPAÇÃO CONTROLADA 1;Unidade Regional Boa Vista;1;1;;335.026;CASA POPULAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";178,98;42,09;0;0,00;42,09;0,00;;;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;DOUGLAS ROBERTO HEIM LASS;PR0000004815D;RIZZATTO & RIZZATTO LTDA;;;
13.033.021;11.0.0003.0130; 04/08/2015 ; 03/10/2015 ; 31/08/2015 ;CÂNDIDO HARTMANN;1.101;BIGORRILHO;ZR3 - ZONA RESIDENCIAL 3;Unidade Regional Matriz;0;0;0;337.114;;;DEMOLIÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";371,00;0,00;0;0,00;0,00;0,00;0;0;;;;;;;;
18.188.012;20.1.0006.0126; 04/08/2015 ; 03/11/2015 ; 02/09/2016 ;ROSI LOPES COLLERE;124;CAPÃO DA IMBUIA;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Cajuru;2;3;0;337.118;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";384,04;250,87;0;0,00;250,87;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
22.049.017;08.0.0037.0454; 04/08/2015 ; 03/11/2015 ;;NUNES MACHADO;973;REBOUÇAS;ZUM - ZONA DE USO MISTO 3;Unidade Regional Matriz;3;;1;337.111;COMUNITÁRIO 3 - ENSINO;******;REFORMA E AMPLIAÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";5.473,90;9.222,23;0;0,00;1.700,39;6.252,58;0;1;LUIZ FERNANDO COLNAGHI RIBEIRO;A0140295;LUIZ FERNANDO COLNAGHI RIBEIRO;A0140295;;;;
28.144.021;21.1.0031.0238; 04/08/2015 ; 03/11/2015 ;;DA TRINDADE;493;CAJURU;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional Cajuru;1;1;0;337.110;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";286,00;78,74;0;0,00;78,74;0,00;0;0;LUIS ANTONIO LORENZETTI JUNIOR;A0436224;ANGELA ONETTA ARAUJO;A1454692;Proatiwa Arquitetura LTDA;;;
59.005.005;63.2.0025.0068; 04/08/2015 ; 03/11/2015 ;;INÁCIO SLOMPO;156;SANTA FELICIDADE;ZR2 - ZONA RESIDENCIAL 2;Unidade Regional Santa Felicidade;2;1;0;337.103;HABITAÇÃO UNIFAMILIAR;******;CONSTRUÇÃO;"Alvenaria; Concreto; Madeira; Metálico; Mista; Outros Materiais";442,00;316,35;0;0,00;316,35;0,00;0;0;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;AUTOR/RESP/N. DO CAU/N.DA RRT - VER OBSERVACOES;PR0000000001P;;;;
