INDFISCAL;Inscrição Imobiliária;Data Criação Alvará;Data Início Obra;Data Conclusão Obra;Logradouro;Número;Bairro;Grupo Zoneamento;Abrangência;Quantidade Pavimentos;Quantidade de Unidades Residênciais;Quantidade Unidades Não Residênciais;Número Alvará;Uso(s) Alvará;Sub-Uso(s) Alvará;Finalidade;Material(is);Metragem Área Remanescente;Metragem Construída Lote;Número de CAPACs Utilizadas;ACA-Área Adicional de Construção;Área Liberada;Metragem Área Reforma Alvará;Quantidade Blocos Alvará;Quantidade Sub-Solo Alvará;Autor do Projeto;Número Registro Crea/Cau AU;Responsável Técnico;Número Registro Crea/Cau RT;Firma Construtora;Número CVCO;Tipo Vistoria;Data Vistoria;Área Vistoria
87.884.014;67.0.0018.0144; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;95;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;172,34;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.015;67.0.0018.0152; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;75;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.016;67.0.0018.0160; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;67;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.017;67.0.0018.0168; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;59;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.018;67.0.0018.0176; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;51;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.019;67.0.0018.0184; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;43;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.020;67.0.0018.0192; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;35;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.021;67.0.0018.0200; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;27;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.022;67.0.0018.0104; 15/01/2013 ; 15/04/2013 ;;PROFESSORA CECILIA IRITANI;52;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;167,36;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.023;67.0.0018.0110; 15/01/2013 ; 15/04/2013 ;;PROFESSORA CECILIA IRITANI;60;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;125,98;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.024;67.0.0018.0118; 15/01/2013 ; 15/04/2013 ;;PROFESSORA CECILIA IRITANI;72;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;127,91;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.884.025;67.0.0018.0146; 15/01/2013 ; 15/04/2013 ;;PROFESSORA CECILIA IRITANI;80;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;176,13;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.001;67.0.0019.0244; 15/01/2013 ; 15/04/2013 ;;ÁGUAS DO PASSAUNA;458;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;188,47;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.002;67.0.0019.0252; 15/01/2013 ; 15/04/2013 ;;ÁGUAS DO PASSAUNA;466;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;134,16;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.003;67.0.0019.0022; 15/01/2013 ; 15/04/2013 ;;ÁGUAS DO PASSAUNA;478;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;197,13;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.004;67.0.0019.0030; 15/01/2013 ; 15/04/2013 ;;EXPEDICIONARIO NILO SCANDELARI;30;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.005;67.0.0019.0038; 15/01/2013 ; 15/04/2013 ;;EXPEDICIONARIO NILO SCANDELARI;38;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.006;67.0.0019.0046; 15/01/2013 ; 15/04/2013 ;;EXPEDICIONARIO NILO SCANDELARI;46;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.007;67.0.0019.0054; 15/01/2013 ; 15/04/2013 ;;EXPEDICIONARIO NILO SCANDELARI;54;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.008;67.0.0019.0062; 15/01/2013 ; 15/04/2013 ;;EXPEDICIONARIO NILO SCANDELARI;62;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.009;67.0.0019.0070; 15/01/2013 ; 15/04/2013 ;;EXPEDICIONARIO NILO SCANDELARI;70;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.010;67.0.0019.0078; 15/01/2013 ; 15/04/2013 ;;EXPEDICIONARIO NILO SCANDELARI;78;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.011;67.0.0019.0086; 15/01/2013 ; 15/04/2013 ;;EXPEDICIONARIO NILO SCANDELARI;86;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.012;67.0.0019.0114; 15/01/2013 ; 15/04/2013 ;;EXPEDICIONARIO NILO SCANDELARI;104;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;163,69;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.013;67.0.0019.0120; 15/01/2013 ; 15/04/2013 ;;PROFESSORA CECILIA IRITANI;20;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;129,65;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.014;67.0.0019.0128; 15/01/2013 ; 15/04/2013 ;;PROFESSORA CECILIA IRITANI;30;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;131,70;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.015;67.0.0019.0156; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;101;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;172,34;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.016;67.0.0019.0164; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;81;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.017;67.0.0019.0170; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;73;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.018;67.0.0019.0180; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;65;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.019;67.0.0019.0188; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;57;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.020;67.0.0019.0196; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;49;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.021;67.0.0019.0204; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;41;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.022;67.0.0019.0212; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;33;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.885.023;67.0.0019.0220; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;25;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.001;67.0.0021.0214; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;117;SÃO MIGUEL;ZCON - ZONA DE CONTENÇÃO - APA PASSAÚNA;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;163,69;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.002;67.0.0021.0222; 15/01/2013 ; 15/04/2013 ;;PROFESSORA CECILIA IRITANI;69;SÃO MIGUEL;ZCON - ZONA DE CONTENÇÃO - APA PASSAÚNA;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;129,65;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.003;67.0.0021.0228; 15/01/2013 ; 15/04/2013 ;;PROFESSORA CECILIA IRITANI;59;SÃO MIGUEL;ZCON - ZONA DE CONTENÇÃO - APA PASSAÚNA;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;131,70;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.004;67.0.0021.0020; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;130;SÃO MIGUEL;ZCON - ZONA DE CONTENÇÃO - APA PASSAÚNA;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;172,34;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.005;67.0.0021.0028; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;138;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.006;67.0.0021.0036; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;146;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.007;67.0.0021.0044; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;154;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.008;67.0.0021.0052; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;162;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.009;67.0.0021.0060; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;170;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.010;67.0.0021.0068; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;178;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.011;67.0.0021.0098; 15/01/2013 ; 15/04/2013 ;;AYRTON PRECOMA;198;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;251,15;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.012;67.0.0021.0132; 15/01/2013 ; 15/04/2013 ;;MARIO PROLICO;35;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;228,85;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.013;67.0.0021.0140; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;173;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.014;67.0.0021.0148; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;165;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.015;67.0.0021.0156; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;157;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
87.886.016;67.0.0021.0164; 15/01/2013 ; 15/04/2013 ;;SAUL SCHULMAN;149;SÃO MIGUEL;SEHIS - SETOR ESPECIAL DE HABITAÇÃO DE INTERESSE SOCIAL;Unidade Regional CIC;2;512;;316.344;;******;CONSTRUÇÃO;;128,00;17.025,05;0;0,00;9.590.848,20;0,00;;;IRINEU CELSO DE SANT ANA;;WALDEMAR TROTTA JUNIOR;PR0000013450D;TROCON ENGENHARIA CIVIL LTDA;408324;Total; 07/02/2025 ;17.005,05
